"日付け","終値","始値","高値","安値","出来高","前日比%"
"2015年12月03日","360.73","359.12","371.10","352.86","27.46K","0.44%"
"2015年12月02日","359.14","362.68","363.13","346.16","31.55K","-0.98%"
"2015年12月01日","362.68","376.88","379.99","353.24","44.10K","-3.77%"
"2015年11月30日","376.88","373.89","384.51","369.97","47.64K","0.96%"
"2015年11月29日","373.29","358.60","376.00","355.62","25.47K","4.06%"
"2015年11月28日","358.71","358.90","362.12","351.16","19.34K","-0.05%"
"2015年11月27日","358.90","354.00","366.70","348.18","35.90K","1.39%"
"2015年11月26日","353.99","329.85","369.08","329.35","80.51K","7.32%"
"2015年11月25日","329.85","320.10","331.03","316.05","20.61K","3.05%"
"2015年11月24日","320.10","323.63","323.76","315.84","9.62K","-1.09%"
"2015年11月23日","323.63","324.67","327.01","320.91","7.81K","-0.32%"
"2015年11月22日","324.66","327.84","327.85","320.36","7.34K","-0.88%"
"2015年11月21日","327.55","322.20","329.03","318.95","10.33K","1.66%"
"2015年11月20日","322.20","326.49","326.77","309.46","30.09K","-1.32%"
