,close,high,low,open,time,volumefrom,volumeto,timestamp
1376,748890,794610,745403,771297,1533600000,1907.26,1479895122.62,2018-08-07 09:00:00
1377,696757,748989,681013,748890,1533686400,2778.0,1990082393.86,2018-08-08 09:00:00
1378,727002,735574,689535,696757,1533772800,2220.75,1576231590.13,2018-08-09 09:00:00
1379,685751,730999,670002,727002,1533859200,2190.73,1553336044.84,2018-08-10 09:00:00
1380,693245,722251,671414,685751,1533945600,2009.98,1382347416.51,2018-08-11 09:00:00
1381,702760,720001,684909,693245,1534032000,1749.34,1229307635.71,2018-08-12 09:00:00
1382,697392,725925,685234,702760,1534118400,1689.24,1193919047.58,2018-08-13 09:00:00
1383,690088,697599,659017,697392,1534204800,2451.16,1656100584.6,2018-08-14 09:00:00
1384,692284,730792,688523,690088,1534291200,2930.0,2072363425.34,2018-08-15 09:00:00
1385,703172,718469,686500,692284,1534377600,2171.8,1527430815.69,2018-08-16 09:00:00
1386,729252,729498,700501,703172,1534464000,2251.78,1615336026.3,2018-08-17 09:00:00
1387,709501,733251,699618,729252,1534550400,1866.1,1334129189.93,2018-08-18 09:00:00
1388,716954,724200,700393,709501,1534636800,1441.63,1022893098.07,2018-08-19 09:00:00
1389,690788,721485,689318,716954,1534723200,1780.08,1268254201.25,2018-08-20 09:00:00
1390,714249,718000,689300,690788,1534809600,1898.61,1341399813.61,2018-08-21 09:00:00
1391,704163,755554,692130,714249,1534896000,2140.02,1550715277.68,2018-08-22 09:00:00
1392,725501,729395,702559,704163,1534982400,1583.87,1130468561.8,2018-08-23 09:00:00
1393,743251,747001,718292,725501,1535068800,1537.37,1121174902.09,2018-08-24 09:00:00
1394,747547,756749,739633,743251,1535155200,1434.51,1070760544.7,2018-08-25 09:00:00
1395,745454,751367,730253,747547,1535241600,1208.55,896422376.6,2018-08-26 09:00:00
1396,765068,766999,738756,745454,1535328000,1387.7,1034562337.97,2018-08-27 09:00:00
1397,786342,792598,761767,765068,1535414400,1917.7,1489389020.62,2018-08-28 09:00:00
1398,783751,790911,773476,786342,1535500800,1953.7,1532589941.11,2018-08-29 09:00:00
1399,776595,786385,754913,783751,1535587200,2098.59,1617102209.04,2018-08-30 09:00:00
1400,777260,785499,763812,776595,1535673600,2043.04,1582221503.05,2018-08-31 09:00:00
1401,798797,805559,777004,777260,1535760000,1837.46,1450398520.89,2018-09-01 09:00:00
1402,810098,813951,790639,798797,1535846400,2457.41,1977124187.0,2018-09-02 09:00:00
1403,805658,812596,797081,810098,1535932800,1807.23,1455469684.12,2018-09-03 09:00:00
1404,818493,823683,803328,805658,1536019200,1840.43,1498068077.5,2018-09-04 09:00:00
1405,744781,822755,742257,818493,1536105600,2357.93,1859775291.99,2018-09-05 09:00:00
1406,719091,747095,700009,744781,1536192000,2734.63,1954655001.8,2018-09-06 09:00:00
1407,711733,723747,702323,719091,1536278400,2109.52,1508411394.85,2018-09-07 09:00:00
1408,689431,719005,682751,711733,1536364800,1923.13,1354630063.31,2018-09-08 09:00:00
1409,692712,717502,685501,689431,1536451200,1603.24,1123398592.26,2018-09-09 09:00:00
1410,700999,705000,692481,692712,1536537600,1994.52,1394781413.29,2018-09-10 09:00:00
1411,701750,713023,689549,700999,1536624000,1917.85,1345450382.13,2018-09-11 09:00:00
1412,704155,706809,691167,701750,1536710400,1841.82,1287253288.48,2018-09-12 09:00:00
1413,726454,729773,703883,704155,1536796800,2232.47,1607423456.2,2018-09-13 09:00:00
1414,725485,736899,716407,726454,1536883200,2215.23,1611910575.53,2018-09-14 09:00:00
1415,729740,733986,724166,725485,1536969600,1929.53,1407113202.33,2018-09-15 09:00:00
1416,727080,730232,715000,729740,1537056000,1494.53,1084023629.39,2018-09-16 09:00:00
1417,698753,730069,692734,727080,1537142400,2035.91,1451787553.21,2018-09-17 09:00:00
1418,710180,715257,696733,698753,1537228800,1625.75,1147946418.27,2018-09-18 09:00:00
1419,713118,729800,687542,710180,1537315200,1956.19,1390927786.86,2018-09-19 09:00:00
1420,727501,733000,712000,713118,1537401600,1811.42,1302336114.27,2018-09-20 09:00:00
1421,757700,763050,727462,727501,1537488000,2866.87,2149233343.02,2018-09-21 09:00:00
1422,753700,765897,742391,757700,1537574400,1588.48,1197671863.7,2018-09-22 09:00:00
1423,753246,760899,746989,753700,1537660800,1004.51,757145339.06,2018-09-23 09:00:00
1424,741001,755000,738003,753246,1537747200,1328.05,989739252.13,2018-09-24 09:00:00
1425,726445,741402,715000,741001,1537833600,1807.38,1307709931.33,2018-09-25 09:00:00
1426,727919,738993,719737,726445,1537920000,1409.87,1028868545.05,2018-09-26 09:00:00
1427,755355,763537,725706,727919,1538006400,1456.44,1076139236.69,2018-09-27 09:00:00
1428,751751,769492,741669,755355,1538092800,1628.1,1230334876.98,2018-09-28 09:00:00
1429,748001,752244,734319,751751,1538179200,1363.63,1013976479.82,2018-09-29 09:00:00
1430,750447,754802,739405,748001,1538265600,1169.72,875031467.46,2018-09-30 09:00:00
1431,748496,756000,739258,750447,1538352000,1377.93,1032338711.74,2018-10-01 09:00:00
1432,737496,752434,734264,748496,1538438400,1205.21,897150355.63,2018-10-02 09:00:00
1433,740259,743135,727050,737496,1538524800,1335.76,981538059.53,2018-10-03 09:00:00
1434,746687,755001,738842,740259,1538611200,1281.57,957662633.34,2018-10-04 09:00:00
1435,748975,753984,742198,746687,1538697600,925.78,690757577.11,2018-10-05 09:00:00
1436,746045,749923,743765,748975,1538784000,590.05,440311784.68,2018-10-06 09:00:00
1437,747234,749998,740299,746045,1538870400,632.53,470922500.86,2018-10-07 09:00:00
1438,747844,754499,742501,747234,1538956800,869.24,649959152.54,2018-10-08 09:00:00
1439,745394,748743,742000,747844,1539043200,846.49,631229784.49,2018-10-09 09:00:00
1440,732842,745472,728001,745394,1539129600,998.55,735784396.08,2018-10-10 09:00:00
1441,692754,733190,688002,732842,1539216000,1649.36,1155751885.23,2018-10-11 09:00:00
1442,696926,704500,688001,692754,1539302400,860.86,600956182.32,2018-10-12 09:00:00
1443,697844,700093,695000,696926,1539388800,551.42,384866851.91,2018-10-13 09:00:00
1444,695916,705706,692043,697844,1539475200,758.17,530965654.18,2018-10-14 09:00:00
1445,720759,749800,692077,695916,1539561600,1922.42,1377866117.55,2018-10-15 09:00:00
1446,727152,729642,717675,720759,1539648000,932.35,674448447.87,2018-10-16 09:00:00
1447,725995,727959,720020,727152,1539734400,685.91,496954891.87,2018-10-17 09:00:00
1448,718295,731215,712104,725995,1539820800,619.13,447310297.54,2018-10-18 09:00:00
1449,718980,721402,714995,718295,1539907200,519.51,373226734.74,2018-10-19 09:00:00
1450,720894,723980,716549,718980,1539993600,364.87,262710650.26,2018-10-20 09:00:00
1451,721434,727283,719288,720894,1540080000,440.61,318836947.71,2018-10-21 09:00:00
1452,722540,723799,718085,721434,1540166400,552.78,398924213.22,2018-10-22 09:00:00
1453,717551,722672,714251,722540,1540252800,687.66,493968408.72,2018-10-23 09:00:00
1454,718503,727000,717116,717551,1540339200,747.58,539768568.93,2018-10-24 09:00:00
1455,718232,721478,712617,718503,1540425600,696.08,499810666.97,2018-10-25 09:00:00
1456,716558,723099,712439,718232,1540512000,893.69,640639632.28,2018-10-26 09:00:00
1457,716727,718459,715001,716558,1540598400,400.04,286701847.13,2018-10-27 09:00:00
1458,716935,718499,714000,716727,1540684800,392.0,280668774.89,2018-10-28 09:00:00
1459,703562,717700,697001,716935,1540771200,940.08,667283937.28,2018-10-29 09:00:00
1460,708127,710306,702703,703562,1540857600,715.87,505628204.89,2018-10-30 09:00:00
1461,711740,716500,701989,708127,1540944000,943.61,669273415.68,2018-10-31 09:00:00
1462,713573,715404,708500,711740,1541030400,866.92,616337175.93,2018-11-01 09:00:00
1463,717804,718800,713059,713573,1541116800,966.11,692015611.53,2018-11-02 09:00:00
1464,716774,718067,713500,717804,1541203200,408.08,292254090.26,2018-11-03 09:00:00
1465,725786,730000,714583,716774,1541289600,745.43,537886507.76,2018-11-04 09:00:00
1466,724407,728275,720000,725786,1541376000,734.71,532288423.72,2018-11-05 09:00:00
1467,730166,730986,721343,724407,1541462400,995.91,722574896.31,2018-11-06 09:00:00
1468,736682,742505,729631,730166,1541548800,1097.55,807647009.25,2018-11-07 09:00:00
1469,727936,738215,727050,736682,1541635200,919.08,672729851.83,2018-11-08 09:00:00
1470,720420,728900,716625,727936,1541721600,842.53,609565312.09,2018-11-09 09:00:00
1471,721484,725293,719616,720420,1541808000,446.38,322553640.68,2018-11-10 09:00:00
1472,722849,724873,713000,721484,1541894400,547.77,393991434.74,2018-11-11 09:00:00
1473,719885,727060,717532,722849,1541980800,1099.01,794332010.47,2018-11-12 09:00:00
1474,713163,720497,711908,719885,1542067200,1174.27,842555223.07,2018-11-13 09:00:00
1475,652499,718000,609001,713163,1542153600,1941.33,1310882940.22,2018-11-14 09:00:00
1476,635490,690348,600000,652499,1542240000,2321.56,1467951086.9,2018-11-15 09:00:00
1477,624011,638512,613183,635490,1542326400,1500.26,942516793.38,2018-11-16 09:00:00
1478,623883,628994,613735,624011,1542412800,1023.26,636184365.42,2018-11-17 09:00:00
1479,630499,639090,623788,623883,1542499200,1117.56,702242646.54,2018-11-18 09:00:00
1480,535749,630515,528563,630499,1542585600,2426.96,1422358757.0,2018-11-19 09:00:00
